username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
terraflops,2023-04-04T16:11:05Z,0,"Craig is a very fun and enjoyable instructor, but this whole video is pretty much a <i>_</i> Twilio ad___<br><br> I signed up and used it once to send SMS, but not likely to use it again. I did watch whole video, made notes.","['craig', 'fun', 'enjoyable', 'instructor', 'whole', 'video', 'pretty', 'much', 'twilio', 'signed', 'used', 'send', 'sm', 'likely', 'use', 'watch', 'whole', 'video', 'made', 'note']",20,224,43
oliseus,2023-04-04T13:22:03Z,0,Amazing way of teaching!!,"['amazing', 'way', 'teaching']",3,25,4
bamboo6044,2023-04-03T19:27:30Z,0,why as a developer you cannot afford a better quality microphone,"['developer', 'afford', 'better', 'quality', 'microphone']",5,64,11
yncymusic,2023-04-03T00:14:04Z,0,"<a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=2238"">37:18</a> 1999 ganggg","['href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp', 'ganggg']",10,86,4
killjaqular,2023-04-02T14:25:44Z,0,"<a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=4155"">1:09:15</a> at no point in my life has anyone ever told me that &quot;Ahoy&quot; was ever an unofficial way to greet on the phone.","['href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp', 'point', 'life', 'anyone', 'ever', 'told', 'quot', 'ahoy', 'quot', 'ever', 'unofficial', 'way', 'greet', 'phone']",22,195,25
JustPerfectDesigns,2023-04-02T11:46:07Z,35,Is this the best teacher I&#39;ve ever come across? 🤔<br>Yes it definitely is! I love this man. Made learning so funful and enjoyable. You just can&#39;t skip any part. I rewind when I miss a single statement. Thanks a bunch for letting him teach. ❤,"['best', 'teacher', 'ever', 'come', 'across', 'yes', 'definitely', 'love', 'man', 'made', 'learning', 'funful', 'enjoyable', 'skip', 'part', 'rewind', 'miss', 'single', 'statement', 'thanks', 'bunch', 'letting', 'teach']",23,249,45
sylvie8920,2023-04-01T00:13:13Z,4,spotify changed its configuration completely and now i am completely lost .... :) seems waaaayyy more complicated to get a token ! i am sooo lost omg :(,"['spotify', 'changed', 'configuration', 'completely', 'completely', 'lost', 'seems', 'waaaayyy', 'complicated', 'get', 'token', 'sooo', 'lost', 'omg']",14,152,28
theone3746,2023-04-05T17:36:51Z,0,Same. I cant even find the console.,"['cant', 'even', 'find', 'console']",4,35,7
cdmsvt,2023-04-10T00:14:48Z,0,Same. I tried creating an app and using the Client Secret under Setting -&gt; Basic Information. Still getting a Token error in command prompt.,"['tried', 'creating', 'app', 'using', 'client', 'secret', 'setting', 'basic', 'information', 'still', 'getting', 'token', 'error', 'command', 'prompt']",15,143,24
sylvie8920,2023-04-01T00:09:14Z,0,is it just me or it IS impossible to go on Twilio ? i have been trying to create an account multiple time with different email and everytime i try to sign in the page refresh over and over again and tell e there is an error. i did try to reply to trilio&#39;s message when they sent an email about verifying my identity to protect them of fraud but they never replied back ! and my account is still blocked ! and when i try to create a new account it does the same thing again!,"['impossible', 'twilio', 'trying', 'create', 'account', 'multiple', 'time', 'different', 'email', 'everytime', 'try', 'sign', 'page', 'refresh', 'tell', 'error', 'try', 'reply', 'trilio', 'message', 'sent', 'email', 'verifying', 'identity', 'protect', 'fraud', 'never', 'replied', 'back', 'account', 'still', 'blocked', 'try', 'create', 'new', 'account', 'thing']",37,477,97
whps51205,2023-04-03T12:36:15Z,0,I suffer the same problem. remove the &quot;+ ... &quot; behind your email in register,"['suffer', 'problem', 'remove', 'quot', 'quot', 'behind', 'email', 'register']",8,86,15
sylvie8920,2023-04-04T16:43:50Z,0,@whps51205  i didnt put the + sign and it still didnt let me,"['whps', 'didnt', 'put', 'sign', 'still', 'didnt', 'let']",7,60,13
heshort62,2023-03-31T16:30:11Z,0,I have no idea how to request oauth token from this new Spotify UI. It seems like we are required to have an app with URI provided. Anyone has any clue?,"['idea', 'request', 'oauth', 'token', 'new', 'spotify', 'seems', 'like', 'required', 'app', 'uri', 'provided', 'anyone', 'clue']",14,152,31
cdmsvt,2023-04-10T00:16:24Z,0,I just typed something random in there. I managed to get a Client Secret. I&#39;m not 100% sure if its the same thing as a token. I&#39;m guessing not because I keep getting a token error in command prompt.,"['typed', 'something', 'random', 'managed', 'get', 'client', 'secret', 'sure', 'thing', 'token', 'guessing', 'keep', 'getting', 'token', 'error', 'command', 'prompt']",17,206,39
armen8085,2023-03-30T01:23:56Z,0,"the guy is a truly righteous and son of god, he deserves heaven","['guy', 'truly', 'righteous', 'son', 'god', 'deserves', 'heaven']",7,63,13
mthoko,2023-03-29T18:13:11Z,0,You are a brilliant and gifted educator. Thank you,"['brilliant', 'gifted', 'educator', 'thank']",4,50,9
beater35,2023-03-29T18:05:09Z,0,"bruhhh, this guy is soo fun.","['bruhhh', 'guy', 'soo', 'fun']",4,28,6
br-rk5th,2023-03-29T14:51:48Z,0,"I have not decided if this is a good course or not. For instance, I thought the speaker was saying &#39;restbox&#39;. There is a &#39;restbox&#39; out there but does not do what his did. I played him saying it over and over. After reading the notes, I learned he was saying &#39;restfox&#39;. He needs to speak SLOWER and enunciate clearly. One should not have to rewind over and over again just to get a simple point.","['decided', 'good', 'course', 'instance', 'thought', 'speaker', 'saying', 'restbox', 'restbox', 'played', 'saying', 'reading', 'note', 'learned', 'saying', 'restfox', 'need', 'speak', 'slower', 'enunciate', 'clearly', 'one', 'rewind', 'get', 'simple', 'point']",26,418,76
2sumu,2023-03-29T14:29:47Z,0,"Bookmark <a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=473"">7:53</a>","['bookmark', 'href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp']",10,81,3
MarketVisionInsight,2023-03-28T16:57:34Z,2,I wasnt able to find this console thing on Spotify at all,"['wasnt', 'able', 'find', 'console', 'thing', 'spotify']",6,57,12
cdmsvt,2023-04-10T00:17:24Z,1,Same it looks like there was an update on 3.27.2023 :( he wasn&#39;t kidding about Spotify looking different from the beginning.,"['look', 'like', 'update', 'kidding', 'spotify', 'looking', 'different', 'beginning']",8,128,21
azaniastudios4253,2023-03-27T12:22:27Z,48,"This course has been an incredibly fruitful experience for me, and I can confidently say that it&#39;s one of the best things I&#39;ve ever done in my life. As someone who has been programming for almost a decade, gaining a deep understanding of how APIs work has taken my skills to a whole new level.","['course', 'incredibly', 'fruitful', 'experience', 'confidently', 'say', 'one', 'best', 'thing', 'ever', 'done', 'life', 'someone', 'programming', 'almost', 'decade', 'gaining', 'deep', 'understanding', 'apis', 'work', 'taken', 'skill', 'whole', 'new', 'level']",26,301,55
alexrowe9638,2023-04-26T20:44:47Z,3,HA. A decade. I started to learn coding JS and scratched some html and css since a month ago and whenever i meet a new term like i did with API i take a course.<br>I can not help myself to not know things while i do something and i think it will be my doom in the programming world as i got the feel it would take me forever to grasp all the concepts and terminology..,"['decade', 'started', 'learn', 'coding', 'scratched', 'html', 'cs', 'since', 'month', 'ago', 'whenever', 'meet', 'new', 'term', 'like', 'api', 'take', 'course', 'help', 'know', 'thing', 'something', 'think', 'doom', 'programming', 'world', 'got', 'feel', 'would', 'take', 'forever', 'grasp', 'concept', 'terminology']",34,368,76
pandu7820,2023-09-08T10:47:11Z,1,Yeah can you explain the upper() is method or api <br>In this course he said that to change to upper we all need is api,"['yeah', 'explain', 'upper', 'method', 'api', 'course', 'said', 'change', 'upper', 'need', 'api']",11,119,25
ApteraEV2024,2023-03-27T11:11:26Z,0,"<a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=2100"">35:00</a> ...Awkward...I was peeing...🤪","['href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp', 'awkward', 'peeing']",11,104,5
dvo66,2023-03-27T04:04:27Z,0,"Bookmark : <a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=3686"">https://youtu.be/WXsD0ZgxjRw?t=3686</a>","['bookmark', 'href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp', 'http', 'youtu', 'wxsd', 'zgxjrw']",14,115,4
bhavishshetty5332,2023-03-26T18:55:08Z,0,Learning this is no use anymore.. all this is absolute. AI taking over the world,"['learning', 'use', 'anymore', 'absolute', 'taking', 'world']",6,80,15
VGLGameXane,2023-03-26T16:05:36Z,1,Hey When did Mr Beast Started teaching.. 😅,"['hey', 'beast', 'started', 'teaching']",4,42,8
